water_level,temperature,ldr,pH,humidity ,label
6.9,21,779,5.9,55,5
0.9,17.6,546,7,75,45
1.8,19.5,19,6.4,71,13
14.8,29.7,921,7.3,30,23
10.2,12.8,763,6.1,62,5
8.5,20.1,154,7.5,19,27
10.9,11.3,597,6.4,29,4
2.2,19,549,5.4,15,44
3,8.1,266,5.5,42,13
0.1,20.5,766,5.8,58,14
5.6,23.3,124,5.8,76,4
8.6,28.3,496,8,8,21
0.4,19.4,666,7.7,53,43
13,13.6,785,5.5,55,5
13.5,8.3,844,8.5,5,29
3.1,18.9,915,5.9,51,14
11.2,20.1,277,5.5,3,4
9.4,16.6,868,8.6,50,29
1.6,23.6,346,7.3,16,45
8.8,16.6,509,7.2,3,27
8.5,27.5,591,5.1,48,20
3.7,12.8,692,6.1,73,12
6.8,12.5,485,8.2,58,27
5.9,29,82,7.4,25,21
10.8,9.1,197,6.5,41,4
5.7,21.2,526,8.3,75,27
4.5,15,984,5.5,24,14
6.8,18.4,515,8.4,54,27
2.1,19.6,325,8.6,23,45
1.2,15.8,533,5.3,52,44
12.5,20.4,330,5.5,55,4
0.4,18,853,5.9,42,14
10.5,15,756,7.7,42,29
0.6,24.8,800,7.9,68,41
10.4,25.4,316,8.4,6,21
9.8,13.9,889,6.1,11,5
10.8,22.5,456,5.4,31,26
14.7,25.8,671,8.9,56,19
10.3,17,898,6.3,12,5
13.1,12.5,629,5.5,71,4
1.9,19.8,692,7.8,76,43
3.6,10.3,144,7.9,0,45
7.3,17.4,587,9,63,27
7.5,17.6,277,5.5,74,4
2.7,24.9,374,6.2,15,10
12,9.2,837,6.9,69,29
5.9,29.5,210,6.6,80,21
9.1,19.5,224,8,38,27
13.3,27.2,45,7.5,45,21
2.9,11.7,723,6.5,50,14
11.1,16.2,125,7.5,75,27
4,26.4,820,5.9,37,11
8.7,19.1,203,8.8,71,27
1.3,14,745,7.9,57,47
11.2,18.9,215,7.3,10,27
0.8,23.6,513,6,65,13
10.3,27,451,8.6,74,21
10.9,25.1,415,7.2,27,21
1.3,19,538,6.5,24,13
2.6,24.6,401,7.9,62,39
4.6,8.4,247,7.2,32,45
3.8,28.8,300,6.3,53,10
11.2,19.3,695,6.2,19,3
11.8,12.5,969,7.3,51,29
12.7,26.8,413,7.3,34,21
3.2,21.6,81,5.5,71,13
7.3,13.4,124,7.4,23,27
9.7,26.6,919,7.2,50,23
9,14.7,241,7.3,8,27
12.7,17.2,627,6,26,4
9.4,12.2,452,5.7,15,4
11.3,11.2,170,8.8,57,27
14.6,14.4,355,6.7,34,27
7.7,9.9,880,7.4,62,29
0.7,23.5,960,8.1,15,47
10.4,29.8,423,6.1,62,1
9.4,12,852,5.9,11,5
2,8.9,361,8.1,5,45
13.7,23.3,108,7.2,80,27
0.1,27.6,451,6.2,61,10
10.2,18.3,376,7.3,50,27
11.3,14.1,133,5.6,35,4
8.4,18.9,514,5.6,11,4
8.8,20.5,904,6,74,5
8.2,29.4,744,7.2,48,23
7.2,23.5,828,6.6,56,29
0.7,29.1,999,6.3,53,11
9.2,15.1,306,5.7,28,4
13.9,26.6,466,5.7,37,1
9.8,16,311,7.2,70,27
2.4,28.3,960,7.7,79,41
9,27.9,181,8.9,19,21
11.7,16.1,388,6.2,47,4
7.7,19.8,62,5.8,4,4
12.8,24.1,242,8.3,37,21
4.9,16.4,707,7.8,27,47
8,20.3,443,7,43,27
7.6,28.3,336,8.9,14,21
1.2,13.9,500,8.4,66,45
3.6,11.6,819,7,38,47
6.3,25.4,751,7.5,34,23
6.6,24.1,335,7.7,16,21
7.3,27.7,946,5.1,35,22
11.8,13.9,716,7.6,14,29
10.6,28.3,396,7.6,49,21
11.3,20,841,6.2,69,5
7.4,8.8,66,6.7,43,27
4.8,20.4,720,7.5,31,47
10.1,22.1,494,8.1,8,27
9.7,21.4,131,7.1,18,27
3.5,14.8,586,7.3,45,45
4,16.9,522,5.3,7,44
3.2,25.2,876,6.3,35,11
8.9,19.2,97,6,67,4
12.6,12.6,341,6.7,2,27
10.4,27.6,513,5.6,47,1
9.3,18,818,5.5,24,5
3.6,25.6,680,6.8,63,37
12,29.8,719,7.8,6,23
7.8,14.1,399,6.4,48,4
7.9,29.9,405,7,56,21
0.2,26.5,848,6.3,71,11
6.7,18,419,5.9,47,4
4.3,15.1,860,7.1,6,47
10,19.2,684,7.6,2,25
4.9,14.8,841,5.7,30,14
10,8.7,485,6.9,55,27
11.9,30,138,7.2,6,21
11.3,28.3,51,7.2,30,21
6.5,21.6,129,6.7,69,27
9.7,29.3,511,6.8,69,21
10.3,23.9,452,8.4,50,27
11.4,22.5,881,5.3,42,28
9.1,14.5,488,6.8,56,27
7.2,23.7,988,8.3,77,29
10.3,27.1,833,7.9,21,23
6.2,19.1,623,6.1,47,4
8.3,21.6,576,7.9,43,27
10.9,12.4,384,5.6,27,4
0,16.3,66,6.8,59,45
9.4,29.9,70,8.5,75,21
5.1,11.3,246,8.5,9,27
7.1,12.6,372,5.9,76,4
13.7,10,36,5.6,18,4
10.1,22.4,992,7.7,22,29
5.9,19,227,5.1,73,26
1.5,12.8,754,8,6,47
2.6,11.7,556,8.1,67,45
9.6,16.3,592,5.5,28,4
0.7,14.5,337,8.7,15,45
12.3,22,856,5.3,43,28
13.9,11.3,997,5.7,16,5
0.6,18.8,353,7.1,76,45
11.8,26.7,726,5.7,68,2
0.8,20.8,263,8.2,1,45
1.2,17.2,425,6.3,80,13
10.2,26,989,7.5,18,23
13.3,26.5,776,7.5,57,23
0.5,16.5,900,5.6,50,14
12.3,17,179,5.2,63,26
12,14.6,991,5.5,2,5
2.3,9.6,177,5.6,26,13
13.7,28.2,931,6.3,18,2
11.9,15.3,89,6.7,59,27
9.5,13.4,468,6.4,73,4
12.4,23.4,660,8,34,25
12.7,27,347,6.2,67,1
2.6,23.8,784,8.4,25,47
3.3,29.7,278,5.8,40,10
11,28.1,785,7.8,19,23
7.9,19.1,755,5,22,28
1,11.2,845,8.7,75,47
1.7,16.6,509,6.6,13,45
3.9,22.1,955,5.2,36,46
0.5,18.4,771,5.4,78,46
1.4,20.2,114,7.6,56,45
3.7,18.8,484,7,55,45
0.5,11.3,155,8.6,58,45
2.7,9.4,37,7.8,23,45
2.9,25.4,859,7,37,41
0.4,24.6,722,7.1,21,41
12.7,11.3,509,6.6,51,27
14.6,17.9,309,7.1,24,27
7.5,25.3,249,8.3,50,21
7,17.2,703,6.4,45,5
13.7,12.3,269,6.5,14,4
5.5,18.9,454,6.3,18,4
6.3,10.8,156,5,18,26
6.7,10.1,450,7.5,55,27
9,15.3,740,7.5,76,29
1.2,29.1,679,6.3,22,9
3.4,23.3,611,5.8,15,13
5,25.9,489,7.1,9,21
5,26.9,55,5.7,74,1
12.5,22.7,927,7.5,7,29
5.4,16.9,306,7.6,8,27
9.3,15.9,255,8,49,27
6.5,9.5,451,7.8,12,27
0.3,19.2,574,7,46,45
10.2,20.1,420,5.4,16,26
0.9,28.7,840,8.5,23,41
14.9,11.7,734,6.3,64,5
12.9,13.7,809,5.6,0,5
2.2,24.6,820,8.2,61,41
12.4,17.6,71,6.1,45,4
13.8,18.6,474,6.8,51,27
1.2,27.8,882,7.4,44,41
5.7,13.7,542,5.4,32,26
10.2,13.3,4,8.6,37,27
7.7,11.3,413,5.9,80,4
7.7,9.7,743,6.2,63,5
7.8,23.5,963,8.7,51,29
6.2,24.5,259,5.9,20,1
14.2,24.3,638,7.7,12,21
12.3,16.5,333,8.1,40,27
4.1,26,509,5.3,77,38
12.7,13.6,319,7.1,4,27
9.9,29.9,1,7.9,77,21
3.9,8.5,535,5.8,64,13
12.4,27,520,7.1,10,21
12.9,12.9,828,8.8,51,29
9.1,11,525,7.5,29,27
1.9,22.4,290,5.7,39,13
8.5,19.8,605,5.9,48,4
0.8,12.9,94,8.1,2,45
10.4,11,633,8.5,15,27
4.6,18.9,521,8.5,21,45
6.8,23.9,450,7.7,12,27
3.8,13,118,7.6,60,45
2.5,14.1,672,6.2,13,12
8.2,16.9,387,7.2,7,27
13.2,28.7,644,7.3,40,21
12.7,17.9,649,6.6,21,27
11.7,15.5,370,5.1,58,26
8.2,11.9,796,5.2,46,28
7.1,27.8,430,5.4,77,20
14.7,14.8,369,7,78,27
6,10.2,921,6.5,8,5
8.4,10.2,558,8.6,78,27
13.4,11.8,196,7.4,3,27
7.2,13.1,524,8.9,11,27
13.5,11.8,874,6.7,9,29
9.1,28,389,8,8,21
3.6,17.6,488,8.6,31,45
3.1,22.9,773,5.1,53,46
12.7,17.4,66,6.3,67,4
1.2,10.4,189,5.3,40,44
12.1,14.3,716,6.1,54,5
5.7,18.9,999,8.6,10,29
9.8,26.6,358,6.4,4,1
1.9,25.8,874,7.6,24,41
6,20.2,180,7.1,16,27
12.3,26.6,612,8.9,78,21
7.2,10.3,853,8.9,9,29
14.8,9.1,104,8.9,39,27
4.5,14.9,525,5.4,75,44
2.1,26.8,927,8.2,80,41
1.1,14.3,541,8.5,13,45
7.5,26.9,937,8,54,23
14.6,27.3,830,8.3,25,23
7.1,13.7,310,8.6,38,27
11.5,20.7,231,6,16,4
11.6,13.7,176,5.1,57,26
3.3,22.5,488,7.1,55,45
9.6,29.1,311,7.6,39,21
6,25.6,805,7.7,36,23
11.3,23.2,935,6.7,75,29
8.3,25.7,629,7.9,9,21
9.3,18.4,414,8.9,14,27
2.1,24.7,296,8,14,39
3,27.8,582,6.4,77,10
1.7,16.4,774,7.7,22,47
6.7,9.1,271,6.6,1,27
0.4,13.4,967,6.6,4,47
9.3,20.4,523,8.9,40,27
4.6,9.8,910,6.3,30,14
11.5,20.6,614,7,24,27
8.2,23.2,15,8.5,27,27
6.1,8.2,385,7.4,70,27
7.5,16.9,34,5.2,6,26
13.8,17,724,7.2,12,29
13.5,11.5,373,8.4,9,27
0.4,10.4,674,5.7,8,12
0,9.4,53,7.8,54,45
11.2,26,805,7.4,64,23
2.2,16.4,268,8.5,56,45
10.8,27,980,6.4,76,2
2.6,10.8,593,8.1,10,45
14.6,10,24,7.2,62,27
10.4,27.6,909,7.3,53,23
0.8,15.4,815,5.5,21,14
7.7,15,589,7.8,52,27
0.8,22.7,9,6.4,15,13
0.8,17,592,8.5,37,45
0,26.4,597,5.6,74,10
3.9,21,564,7.9,59,45
9.7,20.9,779,7.4,34,29
11.1,28.8,71,5.8,3,1
4.5,14.4,152,6.1,56,13
8,22,788,5.9,80,5
1,21.5,258,6.1,77,13
14.7,13.9,617,8.1,9,27
8.5,8.4,778,5.7,79,5
1.7,24.9,786,7.1,50,41
4.6,18.4,611,8.6,54,45
1.4,17.7,651,7.8,71,43
12.8,21.4,924,7.4,21,29
0.5,29.2,841,6.1,63,11
11.6,14.4,848,6.2,66,5
8.8,16.1,317,7.7,18,27
13.1,15.4,38,7.7,10,27
6,9.3,150,7.8,47,27
1.4,8.8,262,9,43,45
9.8,11.9,665,7.1,21,25
6.9,26.4,983,7.5,74,23
4.4,15.9,993,6.6,39,47
5.5,21.8,214,5,34,26
6.5,13.9,697,7.4,0,25
8.5,24.8,977,6.1,0,2
9.3,29.6,468,5.8,64,1
12,14.2,988,5.8,43,5
10.8,12.9,570,8.4,35,27
1.6,24.2,585,7,2,39
10.8,20.4,54,6.8,33,27
9.4,29.3,373,7.5,48,21
5.7,22.3,579,7.2,72,27
9.8,27.6,778,8,63,23
1.4,23.8,275,6.4,41,13
0.8,20.9,618,8.3,18,45
12.4,22.9,152,8.1,63,27
3.5,23.5,272,6.3,4,13
6.6,18.3,447,6.2,26,4
5,18.1,786,8.2,30,29
7.8,24.8,583,5.3,16,20
7.1,26.7,948,5,11,22
13.6,14.6,260,8.9,69,27
13.5,13.6,602,5.9,76,4
12.1,16.6,945,8.9,28,29
11.9,23.2,117,5.7,4,4
1.5,14.6,741,5.3,37,46
4.1,10.5,686,8.8,67,43
0.2,16.7,448,7.9,16,45
1,17.6,527,7.1,34,45
14.6,22.9,893,8.1,14,29
6.5,9.7,874,7,52,29
0.2,24.2,756,9,72,41
9.7,27.3,917,7.5,46,23
2.2,11.9,938,8.9,34,47
2.7,8.9,825,5.8,62,14
8,24.6,954,6.2,73,2
2.9,25.2,74,6.1,63,10
9.8,14.4,778,8.3,26,29
11.4,16,804,8.1,19,29
6.5,14,186,7.1,65,27
5,23.3,894,7.3,70,29
13.2,26.5,508,6.8,74,21
13.1,8.3,782,7.7,28,29
9.2,24.2,918,5.1,22,22
3.9,26.7,116,7.6,5,39
13,22.1,77,8.1,60,27
2.2,26.5,205,8.2,18,39
4.8,16.6,258,7.5,49,45
5,16.8,397,7.3,66,27
3.1,15.7,722,5.6,38,14
14.7,25.5,481,5,54,20
6.9,29.7,180,5.9,60,1
11,11.5,795,5.5,41,5
11,9.1,903,8.9,56,29
4.2,16.9,456,8.3,26,45
1.1,10.8,941,5.3,27,46
5.3,8.6,582,6.7,64,27
7.5,14.3,940,6.3,37,5
13.2,15.2,36,8.6,15,27
9,28.8,633,9,7,21
10,17.3,553,6.8,15,27
2.1,26.3,483,8.3,19,39
11.3,9.3,430,7.8,61,27
7.1,11.7,125,7,48,27
4.5,11.9,12,6.9,74,45
14.2,25.6,303,8.4,75,21
13.8,22.5,608,7.2,59,27
14.8,21.6,58,8.8,22,27
5.8,19.6,174,6.1,52,4
8.5,19.7,711,5.6,29,5
7.6,8.3,294,6.4,57,4
6.2,13.3,276,5.8,6,4
7.9,26.3,636,5.9,22,1
11.8,27.1,697,5.9,1,0
11.5,10,556,5.6,3,4
2.4,9.9,465,5.1,69,44
7.2,10.6,583,6.9,39,27
5.2,19,909,8.2,32,29
12.9,26.4,264,7.1,44,21
12.5,8.7,654,5.3,37,24
6.9,26,556,7.8,0,21
11.5,14.3,490,7.4,75,27
6.7,12.2,872,8.4,5,29
12,18.8,574,6.6,48,27
13.8,12.5,570,7.4,34,27
1.3,19.3,131,5.6,26,13
4,27.1,126,7.1,8,39
6.9,17,527,6.5,37,4
4.6,22.2,535,5.2,71,44
5.7,14.3,304,8.7,66,27
3,23.5,915,6.2,63,14
0.1,13.5,317,7,59,45
9.7,23.4,650,6.4,46,3
1.6,28.1,489,5.7,46,10
6.3,9.7,439,5.1,39,26
1.5,12.7,985,7.6,65,47
14.9,10.1,629,6.2,19,4
9,16.3,403,5.4,61,26
10.5,9.4,163,5.6,47,4
14.8,20.4,948,7.7,47,29
1.3,12.3,552,7.3,3,45
7.1,24,361,8.9,60,21
12.5,28.8,217,6.8,14,21
10.4,24.7,223,5.3,73,20
5.9,11.6,182,6.9,69,27
6.9,19.8,736,7,65,29
9.4,29.2,375,5.1,33,20
14.8,20.2,321,8.4,79,27
10.9,23.5,240,7,13,27
4.1,24.5,79,7.6,74,39
13.3,22.6,352,7.3,39,27
10.2,10.6,710,5.8,29,5
1.9,16.1,48,7,49,45
11.6,13.4,317,5.6,52,4
13.5,24,171,6.2,41,1
11.2,18.7,53,8.7,41,27
4.2,26.5,98,7.4,47,39
12.4,21.9,876,8.9,12,29
11,8.7,780,8.2,47,29
13.4,20.8,194,5.6,53,4
2.3,17.7,66,6.3,54,13
14.6,28.5,639,8.1,0,21
11.5,23.6,839,6.1,64,5
10.1,19,148,8.7,57,27
3.1,12.3,875,6.2,21,14
8.4,14.6,889,5,69,28
1.8,28.4,677,6.9,39,37
10.6,18,363,8.6,23,27
4.8,12.1,217,8.9,30,45
2.5,11.7,510,8.7,18,45
12.6,18.6,216,8.1,55,27
10.3,15,40,8,20,27
9.5,12.9,244,7.7,49,27
5.8,12.8,118,7,1,27
7.9,16.9,492,7,44,27
12.5,20.3,437,6,69,4
6.5,19.6,423,7.5,80,27
11.1,18,933,8,74,29
2.8,19.4,85,5.6,45,13
4.2,24.2,933,8,32,41
2.2,23.3,931,7.9,4,47
5.9,16,764,5.1,61,28
4,25.9,216,8.4,20,39
3.8,22.6,0,6,62,13
2.5,21.2,668,6.3,72,12
4.1,19.7,729,6,72,14
2.9,13.6,220,8.1,36,45
9,28.4,838,7.5,27,23
5.2,15.1,435,6.6,27,27
8.1,20.9,369,5.7,56,4
14.6,20.5,31,5.4,55,26
12.8,21.4,694,8.3,47,25
11,24.9,145,5.9,1,1
2.9,17.3,272,7.6,12,45
9.6,28.1,299,5.4,43,20
12.9,21.5,865,8,78,29
6.2,23.5,397,7.4,42,27
9.4,13.9,354,6,2,4
12.9,16.9,955,5.9,15,5
6,14.8,100,6,50,4
4.5,28,671,8.5,27,37
12,20.3,15,5.3,67,26
11.8,17.4,566,6.4,64,4
13.7,10.4,126,5.7,5,4
11.4,14.9,270,8.2,1,27
12.1,21.4,573,5.3,38,26
2.5,9.4,985,7.4,79,47
6.5,23.3,640,5.1,45,26
9.1,28.8,614,7.9,38,21
7.6,18.1,451,7.9,25,27
10.9,28.8,762,6.8,55,23
12.1,19.7,788,8.6,20,29
3.7,25.7,226,5.7,1,10
0.4,11.8,223,6,31,13
1.5,21.8,276,6.5,14,13
2.8,18.1,597,7.3,61,45
5.3,13.9,988,5.2,34,28
0.4,27.1,84,7.6,53,39
2.7,16.1,568,7.5,10,45
0.1,14.2,897,7.2,79,47
5,29.9,916,7.3,24,23
3,8.9,827,9,3,47
9.5,17.7,784,9,57,29
3.6,25.4,927,7.3,13,41
6.6,11.7,921,8.6,61,29
5.9,10.8,43,8.3,47,27
0.8,27.3,689,7.2,17,37
5.1,25.3,117,5,15,20
11,15.4,782,6.7,7,29
12.7,22.1,753,8.1,30,29
6.1,23.7,388,8.5,42,27
0.7,23.4,223,8.2,44,45
4.4,26.7,606,8.2,63,39
4,15.9,804,6.3,54,14
10.9,29.6,929,8.2,58,23
6.4,12.3,882,7,38,29
9.7,24.7,853,5.9,57,2
13.4,15.8,436,5.8,62,4
9.3,8.9,501,5.3,12,26
13.4,28.5,436,6.3,17,1
6.8,15.1,479,8.9,66,27
0.5,28.6,373,8.7,26,39
12.2,15.6,8,8.9,72,27
4.5,11.2,522,5.9,16,13
2.1,13,676,8,49,43
5.4,26.9,303,8.6,43,21
12.7,17.5,177,7.1,45,27
11.3,19.6,352,5.8,75,4
14.8,24,704,6.7,57,23
10.6,25.4,176,6.9,26,21
10.4,13.9,355,8.6,4,27
13,27.6,782,7.8,24,23
10.7,12.3,12,5.2,0,26
7,28.8,214,5.8,48,1
0.3,28.9,78,7.6,57,39
11.5,25.2,323,6.2,26,1
1.1,27.1,187,6.5,21,10
4.5,26.3,344,6.2,0,10
10.2,21.2,40,8.5,47,27
7.3,11.3,252,7.2,72,27
12.7,17.3,875,5.8,35,5
14.9,13.4,288,5.2,6,26
3.8,28.6,138,7,41,39
9.4,28.3,691,6.9,37,19
0.9,10.4,572,6.8,73,45
5,18.6,266,5.1,55,26
9.2,9.4,208,8.1,30,27
11.2,13,854,5.2,36,28
12.9,10.9,827,6,9,5
3.5,28.4,111,8.1,41,39
5.2,20.1,386,5.6,57,4
10,17.4,536,8.9,43,27
8.8,29.5,183,5.3,71,20
7.7,28.5,934,5.1,27,22
8.9,29.4,40,8.6,67,21
2,11.4,974,8.1,62,47
14.9,26.5,697,7.1,37,19
6.7,24.7,316,5.8,72,1
14.1,11.9,789,5.7,3,5
13.3,9.7,849,5.6,24,5
8.3,26.3,882,6.8,53,23
12.6,16.8,372,7.5,3,27
6.4,23.8,532,8.6,23,27
9.7,20.8,528,5.7,78,4
6,29.4,774,8.6,16,23
4.8,17.7,64,8.5,50,45
11.2,18.1,1000,7.5,12,29
10.6,16.7,860,5.6,41,5
13.1,8.1,13,7.8,65,27
15,17.3,60,7.6,11,27
2.4,29.3,12,8.8,41,39
2.9,11.1,569,7.2,75,45
6.8,14.8,640,7.9,15,27
10.2,26.6,103,7.5,0,21
10.5,20.8,322,5.1,18,26
10,14.5,776,6.9,43,29
2.1,9.4,553,6.7,61,45
14.5,9,29,7.6,13,27
14.9,11.8,897,6.2,19,5
12.6,24.8,816,8,14,23
0.1,11.1,649,7.5,23,45
5.8,17.8,707,5.5,54,5
11.3,13.4,558,6,75,4
0.7,25.8,214,6,12,10
8.6,16.2,237,5.7,58,4
6.8,28.7,468,8,47,21
1.3,29.9,372,6.6,19,39
13.1,10.7,555,7.4,79,27
4.4,22,529,5.4,13,44
4.7,23.2,792,8.4,64,47
9.9,14.3,592,8.9,12,27
7.3,26.4,542,6.9,10,21
2.4,22.6,389,5.8,10,13
6.1,15.5,988,5.1,57,28
11.8,14.4,940,8.7,60,29
4.2,22.5,738,7,3,47
6.4,11.5,360,7.9,79,27
14,26.5,480,5.4,63,20
8,28.6,556,6,64,1
6,16.4,910,8,22,29
0.6,8.4,344,6.3,65,13
0.8,16.6,453,8.7,78,45
0.9,27,865,7.8,59,41
14.9,12.5,82,5.4,14,26
12.3,23.2,619,7.8,14,27
8.1,14.1,749,8.3,69,29
13.8,28,341,5.9,16,1
11.6,20.9,491,7.6,26,27
10.2,26.7,449,8.1,14,21
5.6,12.7,1000,5.5,48,5
3.7,17,805,6.2,3,14
4.4,23.9,85,8.2,47,45
15,12.1,756,5.2,29,28
10.4,13.6,219,8.8,18,27
6,21.6,470,7.7,59,27
8.4,27.8,158,7.3,7,21
3.4,20.7,279,6.2,16,13
10.1,12.4,823,7.6,34,29
11.5,11.7,470,6.5,34,4
10.5,9.7,559,8.5,66,27
14.2,29.4,973,8.6,17,23
13.6,10.8,557,7.6,10,27
13.5,10.2,668,8.4,71,25
0.3,28.1,826,8.3,26,41
8.7,17.7,704,8.9,62,29
11.8,24.8,799,6,18,2
2.4,17.4,316,8.8,21,45
2.3,17,459,7.9,8,45
1.2,23.8,123,8.2,80,45
8.6,18.2,554,5.9,42,4
8.6,24.9,951,6.8,4,23
14.9,20.3,202,7.5,13,27
0.8,8.1,95,7,31,45
2.3,28.2,533,6.2,46,10
9.5,20.5,85,8.7,76,27
13.2,26.2,683,8,3,19
8.4,18,430,7,22,27
9.6,25.2,773,5.5,63,2
2.8,15.3,333,6.7,50,45
2.5,14.3,499,6.8,52,45
7.8,9.6,807,6.7,61,29
11.9,10.3,798,5.2,66,28
8,10.5,882,5.9,46,5
12.3,13.1,121,7.9,5,27
3.1,10,271,8.4,14,45
13.7,29.3,515,5.4,3,20
1.3,25.1,883,6.9,21,41
2.9,18.3,48,8.8,31,45
11.5,15.3,636,6.5,48,4
2.8,24.3,208,8.2,29,39
10.4,19.2,857,5.9,19,5
13.7,12.3,82,8.5,26,27
4.7,10,976,8.2,59,47
13.3,8.6,333,5.4,50,26
6.1,24.3,887,5.3,35,22
1.5,29.2,610,6.1,9,10
3.8,8,596,6.7,45,45
0.9,11,249,5.7,70,13
2.3,25.3,124,7.7,60,39
9.3,12.5,548,8.4,75,27
4.4,9,739,8.1,29,47
10.8,28.1,299,5.7,46,1
5.3,12,279,5.8,58,4
8.8,21.6,743,8.4,40,29
3.5,21,272,8,19,45
3.1,13.1,550,8.1,23,45
14.6,28.9,87,7.2,45,21
3.3,23.8,393,6.4,50,13
10.2,21.1,256,5.2,80,26
11.7,9.1,637,5.4,39,26
2.4,23.4,455,7.2,50,45
2.5,22.5,44,5.5,42,13
10.1,24.4,825,6.8,38,23
4.1,10.5,751,6,77,14
10.5,27.6,368,6.1,22,1
3.3,9.1,591,8.7,42,45
1.3,11.8,320,7.8,74,45
0.1,16.1,211,5.8,77,13
13.5,12.3,526,7.7,76,27
11.2,12.7,857,6.1,31,5
2.9,25.3,429,6.1,42,10
13,29.2,242,6,80,1
2.9,10.8,673,8.8,3,43
0.1,21.5,849,7,27,47
5.7,18,58,6.7,30,27
3.5,15.9,830,6.8,57,47
4.4,24.3,550,7.6,49,39
11.7,16.3,259,6.8,40,27
1.5,9.5,862,7.9,0,47
10.4,12.6,828,7.7,21,29
0.3,20.7,603,8.4,57,45
11.9,21.6,506,8.8,55,27
0.3,22.4,919,9,4,47
6,16.5,274,7.4,8,27
5.6,27.2,19,7.8,1,21
7.4,17.3,326,7.4,38,27
12.3,23.4,153,6.5,61,4
5.2,27.2,562,8.3,78,21
9.3,26.7,871,8,55,23
13.9,21.6,608,8.6,18,27
3,25,914,6.9,76,41
